GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,8,4231,0.023445505648851395,0.18219111859798431,1.0091336965560913
G1,8,4334,0.03077222779393196,0.19586767256259918,1.031113862991333
G1,8,4434,-0.05714842304587364,0.22322078049182892,0.9803152084350586
G1,8,4539,-0.0376105010509491,0.19049474596977234,1.0701897144317627
G1,8,4640,-0.05519463121891022,0.16265320777893066,0.9490545392036438
G1,8,4743,-0.03126067668199539,0.1382308006286621,1.0330675840377808
G1,8,4846,-0.03370291739702225,0.1616763025522232,0.9988762736320496
G1,8,4947,-0.09280513226985931,0.16069941222667694,1.0066914558410645
G1,8,5047,-0.07961703091859818,0.13871924579143524,0.9285397529602051
G1,8,5149,-0.05519463121891022,0.17242217063903809,0.9539390802383423
G1,8,5249,-0.06984807550907135,0.15776872634887695,1.0066914558410645
G1,8,5352,-0.0893859937787056,0.1489766538143158,1.007668375968933
G1,8,5455,-0.08889754861593246,0.16607233881950378,0.948566198348999
G1,8,5556,-0.07961703091859818,0.19196008145809174,0.9856881499290466
G1,8,5665,-0.08645530790090561,0.15825717151165009,0.970546305179596
G1,8,5767,-0.06545203924179077,0.1773066520690918,1.0584670305252075
G1,10,78,-0.011722752824425697,-0.04298342764377594,1.054559350013733
G1,10,180,0.03858739882707596,-0.03174912557005882,1.0276947021484375
G1,10,280,1.326624870300293,0.11429684609174728,0.9251205921173096
G1,10,383,0.8811602592468262,-1.1121962070465088,1.1302688121795654
G1,10,485,-1.989937424659729,-0.6882233619689941,1.3368823528289795
G1,10,588,-0.1396961510181427,0.07082497328519821,1.1043810844421387
G1,10,689,0.19049474596977234,0.1865871548652649,0.9002097249031067
G1,10,792,0.000976896146312356,0.06691738963127136,1.035021424293518
G1,10,894,0.016118785366415977,0.13871924579143524,1.0101104974746704
G1,10,997,-0.0029306882061064243,0.06447514146566391,1.1175692081451416
G1,10,1097,0.002442240249365568,0.07766324281692505,0.9978993535041809
G1,10,1200,-0.06105600669980049,0.04005274176597595,1.0911929607391357
G1,10,1301,-0.224197655916214,0.08498996496200562,0.9466123580932617
G1,11,28,-0.14458061754703522,0.027841540053486824,0.7214378118515015
G1,11,129,-0.07619789987802505,-0.019049474969506264,1.0330675840377808
G1,11,232,1.1962093114852905,0.2525276243686676,1.2391927242279053
G1,11,334,1.0648167133331299,-0.6369362473487854,1.114150047302246
G1,11,434,-0.599814236164093,-0.6794312596321106,0.5851607918739319
G1,11,537,-0.5162896513938904,-0.002442240249365568,1.0599323511123657
G1,11,638,0.2730424702167511,0.263761967420578,0.9944801926612854
G1,11,741,0.02637619711458683,0.13578855991363525,1.1053580045700073
G1,11,844,-0.02686464414000511,0.10648167878389359,0.9871535897254944
G1,11,945,-0.03956429287791252,0.2134518027305603,0.9129094481468201
G1,12,33,-0.13139252364635468,-0.024910852313041687,0.7331605553627014
G1,12,134,-0.03028378076851368,-0.029306884855031967,0.9754307270050049
G1,12,236,0.7141110897064209,-0.0029306882061064243,1.0423481464385986
